,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
1280,Ned Endress,0,16,0.9,0.3,-,12.0,-1,53.3,-,-0.1
1281,Wayne Engelstad,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1282,Chris Engler,5,195,1.8,0.2,2.0,41.1,-,67.7,7.2,0.6
1283,A.J. English,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1284,Alex English,14,1193,21.5,3.6,5.5,50.7,21.7,83.2,19.9,100.7
1285,Claude English,0,18,1.5,0.3,1.1,26.2,-1,71.4,3.8,-0.3
1286,Jo Jo English,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1287,Kim English,0,41,2.9,0.6,0.9,37.5,28.0,72.4,7.9,0.2
1288,Scott English,2,105,5.6,1.0,4.0,41.4,10.0,77.0,11.9,0.9
1289,Gene Englund,0,46,7.8,0.9,-,38.0,-1,79.2,-,4.2
1290,James Ennis III,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
1291,Tyler Ennis,3,186,4.2,1.9,1.3,41.9,31.7,76.8,10.3,1.3
1292,Ray Epps,0,13,2.0,0.2,0.4,43.5,-1,75.0,7.9,0.1
1293,Semih Erden,1,69,3.8,0.4,2.8,54.6,-,59.4,10.1,1.8
1294,Bo Erias,0,18,8.2,1.4,4.6,34.7,-1,63.8,8.9,-0.1
1295,Keith Erickson,11,766,9.5,2.6,4.5,43.5,-1,76.9,12.2,25.2
1296,Julius Erving,15,1243,24.2,4.2,8.5,50.6,29.8,77.7,23.6,181.1
1297,Evan Eschmeyer,3,153,2.8,0.5,3.9,46.3,-,62.1,10.6,4.0
1298,Jack Eskridge,0,23,2.8,0.6,-,36.2,-1,70.0,-,0.6
1299,Vincenzo Esposito,0,30,3.9,0.8,0.5,36.0,23.2,79.5,5.2,-0.6
1300,Drew Eubanks,3,170,5.9,0.9,4.4,59.0,30.8,75.3,17.8,6.7
1301,Billy Evans,0,53,1.9,1.9,0.7,36.8,0.0,54.3,4.1,0.4
1302,Bob Evans,0,47,3.0,1.2,-,28.0,-1,68.2,-,-0.3
1303,Brian Evans,2,102,3.7,0.8,1.6,38.1,34.3,82.0,11.8,1.7
1304,Earl Evans,0,36,4.4,1.0,2.1,45.0,38.9,57.1,10.3,0.1
1305,Jacob Evans,1,56,4.2,2.0,1.7,34.5,26.3,77.6,6.7,-0.4
1306,Jawun Evans,1,56,4.2,2.0,1.7,34.5,26.3,77.6,6.7,-0.4
1307,Jeremy Evans,7,250,3.5,0.4,2.6,56.9,23.1,68.7,17.3,8.2
1308,Maurice Evans,10,562,6.7,0.7,2.5,44.2,36.3,78.5,11.9,21.7
1309,Mike Evans,8,591,7.7,2.6,1.4,45.2,30.7,80.7,12.0,9.3
1310,Reggie Evans,12,809,4.1,0.6,7.1,46.5,9.1,52.8,11.7,27.1
1311,Tyreke Evans,9,594,15.7,4.8,4.6,44.0,32.3,75.7,17.1,28.4
1312,Daniel Ewing,1,127,3.4,1.4,1.2,38.9,29.5,78.0,8.3,0.8
1313,Patrick Ewing,16,1183,21.0,1.9,9.8,50.4,15.2,74.0,21.0,126.4
1314,Patrick Ewing,0,1183,21.0,1.9,9.8,50.4,15.2,74.0,21.0,126.4
1315,Dante Exum,6,245,5.7,2.1,1.8,40.7,30.5,76.4,8.3,3.1
1316,Christian Eyenga,1,51,6.3,0.8,2.7,41.1,27.7,61.1,8.6,-0.4
1317,Festus Ezeli,3,170,4.2,0.4,4.3,51.3,-,55.7,13.4,5.9
1318,Johnny Ezersky,2,135,7.6,1.3,-,28.8,-1,66.9,-,1.5
1319,Joe Fabel,0,30,2.1,0.1,-,26.0,-1,50.0,-,-0.2
1320,John Fairchild,4,165,6.6,0.7,3.2,40.4,36.8,68.1,11.9,1.8
1321,Tacko Fall,2,37,2.2,0.2,2.4,67.3,-,32.0,18.8,0.7
1322,Phil Farbman,0,48,3.2,0.8,-,30.7,-1,67.9,-,1.4
1323,Kenneth Faried,7,478,11.4,1.0,8.1,54.6,22.2,65.4,19.7,38.8
1324,Dick Farley,4,211,6.5,1.8,2.5,38.4,-1,70.0,12.1,8.2
1325,Jordan Farmar,10,504,7.7,2.9,1.9,42.3,37.4,73.9,13.3,13.9
1326,Desmon Farmer,2,11,2.4,1.0,0.6,31.0,25.0,100.0,6.0,0.0
1327,Jim Farmer,6,136,5.3,0.8,1.4,42.8,28.2,73.0,10.9,0.7
1328,Mike Farmer,7,423,6.7,1.3,4.6,39.3,-1,81.4,9.9,6.3
1329,Tony Farmer,2,101,5.3,0.8,3.2,39.5,18.9,77.0,15.5,3.2
1330,Bob Faught,0,51,6.7,0.6,-,29.5,-1,57.5,-,1.7
1331,Vítor Luiz Faverani,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1332,Derrick Favors,11,790,10.6,1.1,7.1,53.4,19.8,66.3,18.8,60.2
1333,Nick Fazekas,0,26,4.1,0.4,3.4,56.1,0.0,68.2,19.6,0.8
1334,Dave Fedor,0,7,0.9,0.1,0.9,30.0,-1,0.0,2.2,-0.1
1335,Bob Feerick,3,221,13.3,2.0,-,36.2,-1,80.5,-,41.7
1336,Butch Feher,0,48,5.2,0.8,1.5,53.1,-1,76.8,15.9,1.5
1337,Jamie Feick,4,201,4.5,0.7,7.1,42.4,40.0,62.9,12.4,8.2
1338,Ron Feiereisel,0,10,3.0,0.6,0.6,28.6,-1,87.5,12.2,0.0
1339,George Feigenbaum,3,17,3.1,1.1,1.4,22.8,-1,48.5,2.2,-0.6
1340,Dave Feitl,5,275,4.3,0.5,3.0,43.3,0.0,75.1,9.8,1.4
1341,Kay Felder,1,58,3.8,1.3,1.0,36.4,26.8,75.4,9.3,-0.4
1342,Cristiano Felício,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1343,Carrick Felix,0,7,2.7,0.6,0.9,50.0,40.0,75.0,13.3,0.0
1344,Noel Felix,0,12,1.5,0.2,1.1,24.0,33.3,62.5,-1.1,-0.3
1345,Ray Felix,8,637,10.9,0.7,8.9,41.2,-1,67.8,17.1,39.6
1346,Raymond Felton,13,971,11.2,5.2,3.0,41.2,32.9,79.0,13.8,40.2
1347,Jake Fendley,1,103,2.8,0.9,1.2,34.4,-1,74.2,10.2,2.1
1348,Warren Fenley,0,33,2.6,0.5,-,22.5,-1,51.1,-,-0.1
1349,Desmond Ferguson,0,7,1.9,0.1,0.6,41.7,37.5,0.0,11.3,0.0
1350,Terrance Ferguson,3,204,4.5,0.7,1.3,40.4,33.4,75.3,5.6,4.4
1351,Rudy Fernández,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
1352,Bruno Fernando,2,119,3.2,0.6,2.8,52.7,14.6,60.8,12.0,1.2
1353,Eric Fernsten,8,218,2.4,0.4,1.7,44.5,-,67.5,11.7,3.3
1354,Al Ferrari,7,371,6.8,2.5,2.2,36.8,-1,76.0,9.5,8.9
1355,Rolando Ferreira,0,12,0.8,0.1,1.1,5.6,-,87.5,-7.6,-0.2
1356,Duane Ferrell,10,583,6.4,0.9,1.9,48.0,28.8,75.0,12.9,15.7
1357,Yogi Ferrell,4,259,7.7,2.3,2.1,42.0,36.5,83.5,12.2,7.7
1358,Arnie Ferrin,2,178,5.8,1.6,4.0,33.2,-1,68.6,-,7.6
1359,Bob Ferry,9,634,9.1,1.4,5.3,43.3,-1,66.4,13.8,20.2
1360,Danny Ferry,12,917,7.0,1.3,2.8,44.6,39.3,84.0,11.8,34.8
1361,Kyrylo Fesenko,4,135,2.3,0.3,2.0,49.6,0.0,41.0,8.5,0.9
1362,Bobby Fields,0,22,2.5,0.9,1.4,45.8,28.6,61.5,9.2,0.2
1363,Kenny Fields,3,184,6.2,1.0,2.5,47.4,18.8,73.3,11.7,4.2
1364,Landry Fields,4,255,6.8,1.6,4.3,47.3,33.2,66.6,12.1,10.5
1365,Ron Filipek,0,19,2.3,0.4,1.3,38.3,-1,50.0,13.5,0.0
1366,Greg Fillmore,1,49,2.4,0.4,2.2,40.3,-1,46.7,8.1,0.3
1367,Larry Finch,1,128,8.6,2.4,1.7,43.1,34.2,82.9,9.7,1.7
1368,Hank Finkel,8,551,5.1,0.8,3.9,44.9,-1,66.2,12.6,13.5
1369,Michael Finley,14,1103,15.7,2.9,4.4,44.4,37.5,81.1,16.0,85.2
1370,Danny Finn,2,142,7.3,4.0,3.9,32.7,-1,59.9,13.0,1.0
1371,Dorian Finney-Smith,5,394,8.2,1.4,4.5,44.6,36.1,71.8,11.2,20.7
1372,Matt Fish,2,50,3.5,0.5,2.2,50.0,0.0,62.5,11.9,0.6
1373,Derek Fisher,17,1287,8.3,3.0,2.1,39.9,37.4,81.7,11.7,62.3
1374,Richard Fisher,0,12,3.1,0.4,2.7,52.9,-,100.0,25.1,0.2
1375,Gerald Fitch,0,18,4.7,1.8,1.7,33.7,26.9,73.9,10.2,0.1
1376,Malik Fitts,1,18,1.3,0.3,1.1,40.9,50.0,-,9.6,0.1
1377,Bob Fitzgerald,2,78,3.1,0.6,-,19.4,-1,62.9,-,-0.2
1378,Dick Fitzgerald,1,61,4.5,0.7,-,23.7,-1,68.3,-,-0.9
1379,Marcus Fizer,5,289,9.6,1.2,4.6,43.5,19.1,69.1,13.4,2.7
1380,Jerry Fleishman,6,262,5.8,1.6,4.6,27.7,-1,63.8,13.6,7.8
1381,Al Fleming,0,20,2.0,0.4,1.5,48.4,-1,58.8,10.7,0.0
1382,Ed Fleming,4,292,8.6,1.9,5.2,35.9,-1,73.1,14.1,9.8
1383,Vern Fleming,11,893,11.3,4.8,3.4,49.8,18.1,76.4,15.1,52.0
1384,Luis Flores,0,16,2.2,0.7,0.2,48.3,50.0,100.0,10.1,0.0
1385,Bruce Flowers,0,53,4.9,0.9,3.4,53.4,0.0,77.4,15.2,1.7
1386,Sleepy Floyd,12,957,12.8,5.4,2.6,44.4,32.4,81.5,15.5,50.6
1387,Jonny Flynn,2,163,9.2,3.9,1.9,40.0,33.8,80.9,11.3,-1.1
1388,Malachi Flynn,1,91,6.0,2.3,2.0,38.0,32.6,75.0,11.2,1.8
1389,Mike Flynn,2,211,6.2,2.2,2.1,41.9,25.3,62.9,12.1,2.8
1390,Larry Fogle,0,2,1.0,0.0,1.5,20.0,-1,-,-0.5,0.0
1391,Jack Foley,0,11,4.8,0.5,1.5,39.2,-1,86.7,15.6,0.1
1392,Isaac Fontaine,0,6,1.8,0.7,0.8,21.4,20.0,66.7,-0.9,-0.2
1393,Levi Fontaine,0,35,3.8,0.6,0.4,36.6,-1,75.7,12.1,-0.3
1394,Jeff Foote,0,4,1.0,0.0,1.5,33.3,-,-,-0.9,-0.1
1395,Bryn Forbes,5,406,9.1,1.2,1.7,43.8,41.3,82.0,11.2,11.6
1396,Gary Forbes,1,111,5.8,0.9,2.0,43.4,34.0,70.2,12.4,1.7
1397,Aleem Ford,0,11,3.2,0.9,1.8,30.8,10.0,50.0,4.4,-0.4
1398,Alphonso Ford,1,11,3.2,0.9,1.8,30.8,10.0,50.0,4.4,-0.4
1399,Alton Ford,2,11,3.2,0.9,1.8,30.8,10.0,50.0,4.4,-0.4
1400,Bob Ford,0,9,1.6,0.4,1.3,29.4,-,80.0,2.8,-0.1
1401,Chris Ford,9,794,9.2,3.4,3.0,46.0,37.5,73.1,12.2,35.6
1402,Don Ford,6,474,6.4,1.4,3.6,46.4,14.3,77.3,10.8,12.7
1403,Jake Ford,1,31,4.1,1.1,0.6,46.2,-1,76.4,15.4,0.7
1404,Phil Ford,6,482,11.6,6.4,1.8,46.7,21.0,82.0,13.9,23.3
1405,Sharrod Ford,0,28,3.2,0.2,0.9,37.5,16.0,76.5,16.4,0.4
1406,Sherell Ford,0,28,3.2,0.2,0.9,37.5,16.0,76.5,16.4,0.4
1407,T.J. Ford,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1408,Donnie Forman,0,44,4.1,1.7,-,29.4,-1,64.2,-,0.8
1409,Bayard Forrest,1,139,4.1,2.1,4.1,44.9,-1,50.9,10.6,2.7
1410,Trent Forrest,1,90,3.1,1.7,1.6,47.8,18.9,85.1,11.0,2.0
1411,Joseph Forte,1,25,1.2,0.7,0.7,23.4,0.0,80.0,3.2,-0.4
1412,Courtney Fortson,0,10,3.5,1.0,1.5,34.4,23.1,66.7,9.9,0.0
1413,Danny Fortson,9,440,8.2,0.7,7.2,47.2,16.7,78.5,16.2,22.3
1414,Fred Foster,8,524,7.8,1.1,2.4,41.4,-1,72.7,10.7,2.9
1415,Greg Foster,12,656,3.9,0.5,2.6,44.0,22.5,74.8,8.9,5.6
1416,Jeff Foster,12,764,4.9,0.9,6.9,49.7,13.0,61.5,14.2,47.5
1417,Jimmy Foster,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1418,Rod Foster,2,207,7.5,2.3,1.2,44.0,29.8,76.8,10.9,2.2
1419,Antonis Fotsis,0,28,3.9,0.4,2.2,40.4,30.4,85.0,11.3,0.1
1420,Evan Fournier,9,645,14.3,2.6,2.7,44.5,38.1,79.8,13.8,30.5
1421,Larry Foust,11,817,13.7,1.7,9.8,40.5,-1,74.1,19.8,79.2
1422,Calvin Fowler,0,78,4.4,1.6,2.2,45.5,41.2,62.2,9.1,2.1
1423,Jerry Fowler,0,6,1.5,0.3,1.7,30.8,-1,25.0,3.9,-0.1
1424,Tremaine Fowlkes,3,103,2.9,0.5,2.2,40.9,20.0,79.1,10.1,2.1
1425,De'Aaron Fox,4,322,19.1,6.2,3.5,46.2,32.0,72.5,17.5,15.7
1426,Harold Fox,0,10,3.1,1.0,0.8,37.5,-1,87.5,10.0,0.0
1427,Jim Fox,9,743,9.3,1.6,7.4,47.9,-1,77.0,15.2,41.8
1428,Rick Fox,12,930,9.6,2.8,3.8,45.0,34.9,77.0,13.6,44.7
1429,Randy Foye,10,752,10.3,2.8,2.2,40.1,36.6,85.2,12.0,23.5
1430,Adonal Foyle,11,733,4.1,0.5,4.7,47.7,0.0,49.9,12.3,18.7
1431,Richie Frahm,4,140,3.6,0.6,1.2,41.1,35.6,81.0,12.0,2.8
1432,Steve Francis,8,576,18.1,6.0,5.6,42.9,34.1,79.7,18.3,54.1
1433,Tellis Frank,6,264,6.5,1.0,3.9,43.9,0.0,74.1,10.3,4.0
1434,Nat Frankel,0,6,2.7,0.5,-,14.8,-1,66.7,-,-0.2
1435,Jamaal Franklin,1,24,1.8,0.4,1.0,41.5,46.2,100.0,4.7,0.0
1436,William Franklin,3,107,6.1,0.6,3.7,41.5,25.0,60.1,11.3,0.2
1437,Robert Franks,0,7,6.1,0.7,2.0,46.4,33.3,92.3,16.5,0.3
1438,Ronald Franz,5,403,11.7,1.7,5.3,44.7,27.9,70.3,14.2,18.1
1439,Melvin Frazier,3,32,2.7,0.2,0.9,34.0,20.9,53.3,4.2,-0.4
1440,Michael Frazier,0,13,2.1,0.2,0.8,24.1,17.4,64.3,-0.9,-0.2
1441,Tim Frazier,7,289,4.9,4.0,2.3,40.0,32.3,72.3,11.3,6.3
1442,Walt Frazier,12,825,18.9,6.1,5.9,49.0,0.0,78.6,19.1,113.5
1443,Will Frazier,3,153,9.8,1.1,7.1,41.5,50.0,61.0,14.8,4.6
1444,Anthony Frederick,3,147,4.9,0.9,1.9,43.9,27.3,69.9,12.3,0.7
1445,Jimmer Fredette,7,241,6.0,1.4,1.0,40.9,37.2,87.9,12.5,2.2
1446,World B. Free,12,886,20.3,3.7,2.7,45.6,33.7,75.3,18.8,67.7
1447,Enes Freedom,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
1448,Joel Freeland,2,151,3.2,0.4,3.4,45.9,0.0,72.8,11.1,3.2
1449,Donnie Freeman,8,648,18.9,3.5,3.5,45.6,15.1,80.0,18.2,58.0
1450,Gary Freeman,0,52,3.2,0.7,2.0,51.5,-1,72.5,15.0,1.2
1451,Rod Freeman,0,35,3.0,0.4,1.5,37.9,-1,68.3,10.9,0.0
1452,Matt Freije,2,42,3.2,0.6,2.0,29.3,22.4,71.4,4.6,-0.6
1453,Frido Frey,0,23,3.8,0.6,-,28.9,-1,57.1,-,1.2
1454,Larry Friend,0,44,4.0,1.1,2.4,32.7,-1,65.9,7.7,-0.4
1455,Pat Frink,0,48,2.6,1.1,0.9,34.0,-1,79.3,7.9,-0.5
1456,Jim Fritsche,1,84,3.9,0.9,3.0,30.9,-1,73.8,7.8,-1.6
1457,Channing Frye,13,890,8.7,1.0,4.5,44.0,38.8,82.2,13.3,38.9
1458,Bernie Fryer,1,120,6.3,3.0,1.9,44.7,0.0,78.6,11.9,2.0
1459,Frank Fucarino,0,28,5.0,0.3,-,26.8,-1,56.7,-,0.4
1460,Herm Fuetsch,0,42,2.6,0.4,-,30.0,-1,62.5,-,0.9
1461,Joe Fulks,7,489,16.4,1.2,5.3,30.2,-1,76.6,10.9,29.2
1462,Carl Fuller,1,76,5.7,0.8,4.7,45.6,0.0,60.0,10.1,1.3
1463,Hiram Fuller,0,4,2.0,0.5,2.8,37.5,-,33.3,3.6,-0.1
1464,Todd Fuller,4,15,4.0,1.9,2.8,36.4,0.0,75.0,6.9,-0.1
1465,Tony Fuller,0,15,4.0,1.9,2.8,36.4,0.0,75.0,6.9,-0.1
1466,Markelle Fultz,4,131,10.9,4.8,3.2,45.0,26.2,70.8,13.9,3.5
1467,Lawrence Funderburke,7,318,6.4,0.6,3.6,50.6,11.8,67.5,16.4,12.9
1468,Terry Furlow,3,239,10.7,2.4,2.1,45.9,29.3,86.2,16.2,7.3
1469,Bill Gabor,5,307,9.8,2.0,1.8,34.4,-1,73.7,12.9,11.2
1470,Wenyen Gabriel,2,77,3.6,0.4,2.6,45.4,33.8,63.0,10.9,1.2
1471,Dan Gadzuric,9,527,4.7,0.4,4.4,50.0,0.0,49.8,14.4,15.8
1472,Daniel Gafford,2,169,7.6,0.7,4.4,69.2,0.0,65.7,20.7,11.3
1473,Deng Gai,0,2,0.0,0.0,0.0,-,-,-,0.0,0.0
1474,Elmer Gainer,2,20,1.5,0.5,-,22.7,-1,64.3,-,-0.3
1475,Bill Gaines,0,1,2.0,0.0,1.0,50.0,-,-,7.6,0.0
1476,Corey Gaines,6,80,3.1,3.1,0.9,42.4,22.9,73.6,10.8,1.1
1477,Reece Gaines,2,71,1.7,0.7,0.7,32.4,26.9,60.6,5.3,-0.6
1478,Smokey Gaines,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1479,Sundiata Gaines,2,113,4.5,1.8,1.5,39.7,30.1,56.2,14.5,1.4
1480,Mike Gale,10,842,7.4,3.7,2.9,46.4,18.7,78.1,12.4,34.6
1481,Chad Gallagher,0,2,3.0,0.0,0.0,100.0,-,-,66.8,0.1
1482,Harry Gallatin,9,682,13.0,1.8,11.9,39.8,-1,77.3,21.6,78.4
1483,Gene Gallette,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1484,Danilo Gallinari,13,728,15.6,1.9,4.8,42.8,38.2,87.7,16.9,64.1
1485,Langston Galloway,7,452,8.1,1.6,2.4,39.7,36.8,81.6,11.4,14.4
1486,Dave Gambee,11,750,10.6,1.0,5.2,42.0,-1,82.2,15.2,35.9
1487,Kevin Gamble,9,649,9.5,2.0,2.2,50.2,36.0,81.0,14.2,33.3
1488,Bob Gantt,0,23,3.1,0.2,-,32.6,-1,46.4,-,1.3
1489,Jorge Garbajosa,1,74,8.0,1.7,4.7,41.5,34.4,73.1,12.0,3.0
1490,Rubén Garcés,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1491,Alex Garcia,1,10,4.7,1.8,1.5,32.2,27.8,66.7,7.4,-0.1
1492,Francisco García,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1493,Chuck Gardner,0,42,4.7,0.3,3.2,40.6,0.0,69.6,10.4,1.0
1494,Earl Gardner,0,50,1.8,0.4,-,37.6,-1,46.4,-,0.7
1495,Kenneth Gardner,0,9,1.6,0.3,1.4,33.3,-,100.0,10.1,0.1
1496,Thomas Gardner,1,20,2.3,0.2,0.6,30.5,20.0,33.3,2.4,-0.4
1497,Vern Gardner,2,151,8.9,1.6,4.0,34.4,-1,74.8,11.2,7.4
1498,Jack Garfinkel,2,92,5.2,1.5,-,27.5,-1,70.5,-,0.9
1499,Patricio Garino,0,5,0.0,0.0,1.4,0.0,0.0,-,-9.2,-0.2
1500,Darius Garland,2,181,17.4,6.3,2.6,44.3,37.8,87.6,14.4,6.2
1501,Gary Garland,0,78,4.3,1.9,1.8,43.5,31.6,69.2,10.2,0.5
1502,Winston Garland,7,511,9.4,4.7,2.8,43.0,28.1,83.0,12.5,14.2
1503,Dick Garmaker,5,421,13.3,2.6,4.2,40.3,-1,78.7,14.2,25.6
1504,Bill Garner,0,53,1.5,0.5,2.2,27.2,0.0,50.0,-1.2,-0.7
1505,Chris Garner,3,46,1.6,1.4,0.8,28.0,19.0,61.5,4.1,-0.8
1506,Bill Garnett,3,53,1.5,0.5,2.2,27.2,0.0,50.0,-1.2,-0.7
1507,Kevin Garnett,20,1462,17.8,3.7,10.0,49.7,27.5,78.9,22.7,191.4
1508,Marlon Garnett,0,24,2.1,0.8,0.9,29.4,26.1,75.0,6.5,0.0
1509,Billy Garrett,0,4,6.5,1.8,0.8,40.7,0.0,100.0,9.8,0.0
1510,Calvin Garrett,3,166,5.2,1.5,2.6,45.7,30.0,76.7,8.9,2.6
1511,Dean Garrett,5,359,4.8,0.6,5.0,48.0,-,67.7,13.3,14.1
1512,Diante Garrett,1,339,10.3,2.5,3.0,42.3,-1,86.3,10.8,6.0
1513,Dick Garrett,4,339,10.3,2.5,3.0,42.3,-1,86.3,10.8,6.0
1514,Marcus Garrett,0,12,1.1,0.6,1.9,23.8,25.0,40.0,4.7,0.1
1515,Rowland Garrett,4,263,5.1,0.4,2.3,44.1,-1,77.2,13.4,5.4
1516,Tom Garrick,3,251,5.4,3.4,2.0,46.9,8.3,77.5,11.6,5.9
1517,John Garris,0,33,4.0,0.3,2.3,51.0,-,79.4,18.5,0.9
1518,Kiwane Lemorris Garris,2,31,2.3,1.0,0.6,32.0,33.3,76.0,7.5,-0.2
1519,Pat Garrity,9,552,7.3,0.8,2.6,41.7,39.8,80.6,10.7,18.7
1520,Usman Garuba,0,24,2.0,0.7,3.5,43.2,25.0,71.4,12.9,0.5
1521,Jim Garvin,0,6,0.3,0.0,0.8,25.0,-1,-,3.9,0.0
1522,Luka Garza,0,32,5.8,0.6,3.1,44.9,32.7,62.3,15.6,0.8
1523,Marc Gasol,12,891,14.0,3.4,7.4,48.1,36.0,77.6,18.0,85.3
1524,Pau Gasol,17,1226,17.0,3.2,9.2,50.7,36.8,75.3,21.4,144.1
1525,Frank Gates,0,64,4.5,1.4,-,28.1,-1,62.2,-,1.3
1526,Chris Gatling,10,700,10.3,0.7,5.3,51.3,24.9,66.0,17.6,32.1
1527,Kenny Gattison,9,494,7.9,0.9,4.7,52.0,8.3,64.9,13.0,16.9
1528,Rudy Gay,15,1064,16.3,2.1,5.8,45.3,34.9,79.9,16.5,60.7
1529,Ed Gayda,0,15,3.7,0.9,2.6,41.3,-1,75.0,-,0.6
1530,Andrew Gaze,5,26,1.7,0.4,0.5,38.1,37.5,100.0,9.6,0.1
1531,Michael Gbinije,0,9,0.4,0.2,0.3,10.0,0.0,100.0,-2.1,-0.1
1532,Reggie Geary,1,101,2.1,1.1,0.8,34.4,32.8,49.3,7.3,0.6
1533,Alonzo Gee,7,417,6.6,1.1,3.3,43.4,32.5,75.4,10.7,9.7
1534,Matt Geiger,9,552,9.2,0.7,5.7,49.9,23.2,72.8,15.2,28.4
1535,Mickaël Gelabale,6,145,4.6,0.8,2.3,47.0,31.6,81.5,10.5,3.0
1536,Devean George,10,630,5.6,0.9,3.1,39.2,34.3,72.1,10.6,18.2
1537,Jack George,7,506,10.2,4.3,4.2,36.4,-1,70.4,12.3,17.7
1538,Paul George,11,737,20.4,3.6,6.4,43.5,38.2,84.8,19.4,76.6
1539,Tate George,4,177,4.2,1.8,1.0,41.4,7.1,82.0,10.7,1.3
1540,Marcus Georges-Hunt,1,47,1.6,0.2,0.5,41.8,29.4,71.0,7.5,0.3
1541,Gus Gerard,6,446,8.4,1.3,4.1,43.8,27.3,69.6,13.8,11.1
1542,Derrick Gervin,1,77,8.8,0.5,2.3,43.5,22.6,76.4,16.3,2.1
1543,George Gervin,13,1060,25.1,2.6,5.3,50.4,27.1,84.1,21.4,116.3
1544,Gorham Getchell,0,16,0.3,0.0,-,0.0,-1,100.0,-,-0.1
1545,John Gianelli,7,541,7.8,1.5,5.9,47.0,-,70.2,11.7,23.0
1546,Dick Gibbs,4,333,5.2,0.8,1.9,40.2,-1,79.9,9.8,2.6
1547,Daniel Gibson,6,397,7.8,2.0,2.0,40.2,40.7,78.0,10.8,16.0
1548,Dee Gibson,0,44,6.4,2.9,-,31.4,-1,71.8,-,2.7
1549,Hoot Gibson,0,32,5.5,1.2,-,34.4,-1,65.6,-,0.0
1550,Jonathan Gibson,1,21,6.7,1.4,1.2,41.5,36.8,72.4,11.8,0.0
1551,Mel Gibson,0,9,1.4,0.7,0.4,30.0,-1,50.0,2.5,-0.1
1552,Mike Gibson,2,64,1.6,0.2,1.7,38.7,-,67.9,8.6,0.3
1553,Taj Gibson,12,896,9.0,1.0,6.1,51.8,25.7,71.3,15.4,58.9
1554,J.R. Giddens,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1555,Josh Giddey,0,54,12.5,6.4,7.8,41.9,26.3,70.9,13.3,0.4
1556,Trey Gilder,0,2,1.0,0.0,0.5,100.0,-,-,30.9,0.0
1557,Harry Giles,2,142,5.9,1.2,3.8,51.1,25.8,67.1,14.8,3.0
1558,Shai Gilgeous-Alexander,3,243,18.2,4.3,4.5,47.3,34.8,80.7,17.9,17.6
1559,Anthony Gill,1,70,3.7,0.5,1.9,54.4,42.0,80.9,14.4,1.9
1560,Eddie Gill,8,187,3.1,1.2,1.1,36.1,32.0,84.7,9.9,1.9
1561,Kendall Gill,14,966,13.4,3.0,4.1,43.4,30.0,75.4,14.7,47.8
1562,Ben Gillery,0,24,1.0,0.1,1.0,31.6,-,56.5,5.0,0.0
1563,Freddie Gillespie,1,29,4.6,0.5,4.6,50.0,0.0,65.0,12.5,1.1
1564,Jack Gillespie,0,2,1.0,0.0,3.5,0.0,-,100.0,0.8,-0.1
1565,Armen Gilliam,12,929,13.7,1.2,6.9,48.9,0.0,77.6,16.4,58.1
1566,Herm Gilliam,7,578,10.8,3.8,3.8,44.1,-1,79.2,13.8,20.8
1567,Artis Gilmore,16,1329,18.8,2.3,12.3,58.2,15.0,69.8,21.4,189.7
1568,Walt Gilmore,0,27,2.1,0.4,2.7,42.6,-1,46.2,6.4,0.2
1569,Chuck Gilmur,4,239,5.8,1.5,4.7,32.5,-1,60.9,-,15.1
1570,Manu Ginóbili,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
1571,Gordan Giriček,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
1572,Jack Givens,1,156,6.7,0.9,2.9,40.1,0.0,79.1,12.3,4.3
1573,Mickell Gladness,0,26,2.2,0.2,2.2,42.4,-,50.0,9.5,0.2
1574,George Glamack,0,11,9.3,1.7,-,24.8,-1,76.4,-,0.2
1575,Gerald Glass,5,201,7.7,1.5,2.5,43.3,23.6,64.3,13.3,1.8
1576,Mike Glenn,9,593,7.6,1.6,1.2,54.2,28.6,85.5,15.1,25.3
1577,Normie Glick,0,1,2.0,0.0,-,100.0,-1,-,-,0.1
1578,Georgi Glouchkov,0,49,4.9,0.7,3.3,40.2,100.0,57.4,5.7,-0.5
1579,Clarence Glover,0,25,2.6,0.2,1.8,45.5,-1,46.9,14.0,0.3
1580,Dion Glover,5,294,8.2,1.5,3.1,41.1,31.7,75.6,12.8,5.8
